Titre,Resume,Date,Url,Website,politique,géopolitique,sociologique,démographie,économie micro,économie macro,science,technologie,innovation,responsabilité,entreprise,Environnement,France,Europe,International,Monde,Industrie,Marque et enseigne,Services,Energie,Construction,Utilities,Mobilité
Un journal non aligné,"Le Monde diplomatique, un journal non aligné, sollicite ses lecteurs pour soutenir son combat face aux crises mondiales. Dans un contexte où les médias français se focalisent sur les crimes de guerre commis par le Hamas, le journal défend une approche équilibrée du conflit israélo-palestinien en mettant en lumière l'histoire et les enjeux sous-jacents. Face à la réduction du domaine de la lecture et à la prédominance des images, Le Monde diplomatique continue de promouvoir la lecture et la réflexion critique. (79 mots)",2023-11-01,https://www.monde-diplomatique.fr/2023/11/BREVILLE/66269,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non
Un renoncement français,"L'article intitulé ""Il n'y aura pas de rue Emmanuel-Macron à Naplouse"" par Benoît Bréville, publié dans Le Monde diplomatique de novembre 2023, souligne le rejet du président français dans les pays arabes en raison de son soutien à Israël lors des récentes attaques du Hamas. Contrairement à ses prédécesseurs, Macron est critiqué pour son alignement avec Washington et son manque de réprimande envers Israël. La France, autrefois considérée comme une amie du peuple palestinien, semble avoir abandonné cette position.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/BREVILLE/66256,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non
Quand la guerre percute la politique française,"Le nouveau conflit au Proche-Orient a eu un impact immédiat sur la politique française. Les commentaires de La France insoumise ont suscité des critiques violentes, même à gauche, et ont facilité la mise à l'index de cette organisation par un pouvoir de plus en plus à droite. Le Rassemblement national semble être le principal bénéficiaire de cette situation. Cette division a également mis en évidence les désaccords au sein de la gauche française.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/HALIMI/66266,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non
"Loin du front, la société ukrainienne coupée en deux","Dans un reportage intitulé ""Loin du front, la société ukrainienne coupée en deux"", Hélène Richard décrit la situation en Ukraine où le bilan humain des combats s'alourdit. Malgré la demande populaire de justice, le gouvernement peine à recruter des volontaires pour le front. Pendant ce temps, il affiche sa politique anticorruption tout en démantelant l'État social et les syndicats. La ville minière de Kryvyï Rih, touchée par le conflit, subit les conséquences économiques et énergétiques. Les industries locales doivent se rabattre sur des voies logistiques terrestres plus onéreuses et rediriger leurs exportations vers l'Europe.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/RICHARD/66289,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non
"Israël-Palestine, l’engrenage guerrier","L'article ""Israël-Palestine, l'engrenage guerrier"" par Akram Belkaïd dans Le Monde diplomatique de novembre 2023 relate l'attaque surprise du Hamas sur le sol israélien à partir de Gaza, entraînant une riposte dévastatrice. Le Hamas revendique désormais le rôle de champion de la résistance palestinienne, mais ses exactions compromettent son avenir politique. Malgré les accords de normalisation entre Israël et certains pays arabes, la situation reste tendue dans la région.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/BELKAID/66267,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non
Fragile union sacrée en Israël,"Après l'attaque du Hamas, la population israélienne a resserré les rangs et multiplié les actes de solidarité. Les dirigeants politiques, quant à eux, ont cherché à faire bonne figure tout en restant discrets. Les critiques se sont toutefois élevées contre le gouvernement, accusé d'incompétence avant, pendant et après l'offensive. La population a pris en charge des tâches normalement dévolues à l'État, tandis que la droite et l'extrême droite restent actives. Une recomposition politique est attendue après la guerre. (79 mots)",2023-11-01,https://www.monde-diplomatique.fr/2023/11/SCHATTNER/66268,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non
L’échec de la solution à deux États,"L'article ""L'échec de la solution à deux États"" de Thomas Vescovi dans Le Monde diplomatique de novembre 2023 souligne que la question palestinienne est revenue au premier plan après l'attaque du Hamas contre Israël. Les accords d'Oslo n'ont pas permis de convergence des intérêts et ont renforcé la colonisation et l'occupation. Du point de vue israélien, le ""processus de paix"" n'est pas considéré comme un échec, car il a permis de redéfinir les contours de l'occupation et d'effacer politiquement les Palestiniens. Le soutien à une solution à deux États est en baisse dans les deux sociétés. (79 mots)",2023-11-01,https://www.monde-diplomatique.fr/2023/11/VESCOVI/66284,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non
Barbares et civilisés,"Dans cet article intitulé ""Barbares et civilisés"" par Alain Gresh, l'auteur aborde la question des assassinats commis par le Hamas et des bombardements ordonnés par le gouvernement israélien. Il souligne que le premier est qualifié de ""terroriste"" tandis que le second ne l'est pas. L'article met en évidence l'évolution de cette notion au fil de l'histoire. L'auteur évoque également le drame vécu par les parents qui perdent un enfant, quelles que soient les circonstances.",2023-11-01,https://www.monde-diplomatique.fr/2023/11/GRESH/66250,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non
Est-ce vraiment la fin du dollar ?,"L'article ""Est-ce vraiment la fin du dollar ?"" de Renaud Lambert & Dominique Plihon (Le Monde diplomatique, novembre 2023) remet en question la place du dollar dans l'économie mondiale. Bien que des pays comme la Russie et le Brésil souhaitent limiter leur exposition à cette monnaie, cela ne signifie pas pour autant la fin de son hégémonie. Depuis longtemps, le rôle du dollar est contesté, mais il reste toujours au sommet du système économique mondial. Cependant, ces critiques pourraient-elles finalement se concrétiser ? (79 mots)",2023-11-01,https://www.monde-diplomatique.fr/2023/11/LAMBERT/66270,Monde Diplomatique,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non
"L’État français, VRP de l’industrie d’armement","La France, troisième plus gros vendeur d'armes au monde, a toujours cherché à être une puissance autonome dans ce domaine. Depuis les années 1960, l'État français s'est mis au service de l'industrie de l'armement, sans contrôle démocratique et au mépris des droits humains. Malgré la création d'une instance parlementaire chargée de l'évaluation de la politique d'exportation d'armement, le contrôle reste limité. Les exportations d'armes sont pourtant un succès pour la politique industrielle française, générant d'importants excédents commerciaux. (80 mots)",2023-11-01,https://www.monde-diplomatique.fr/2023/11/LAVRILLEUX/66244,Monde Diplomatique,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non
